id,url,itunes_id,original_url,newest_item_pubdate,oldest_item_pubdate,language
41,"https://rss.acast.com/queensofenglandpodcast","1000211238","https://rss.acast.com/queensofenglandpodcast",1518025351,1432998809,"en"
42,"http://feeds.soundcloud.com/users/soundcloud:users:154744058/sounds.rss","1000218165","http://feeds.soundcloud.com/users/soundcloud:users:154744058/sounds.rss",1245110400,1245110400,"en"
43,"https://itunesu.itunes.apple.com/feed/id1000220383","1000220383","https://itunesu.itunes.apple.com/feed/id1000220383",1433023800,1433005920,"EN"
44,"http://feeds.soundcloud.com/users/soundcloud:users:154347590/sounds.rss","1000227793","http://feeds.soundcloud.com/users/soundcloud:users:154347590/sounds.rss",1478102333,1476976545,"en"
45,"http://www.podcastgarden.com/podcast/podcast-rss.php?id=7013","1000228612","http://www.podcastgarden.com/podcast/podcast-rss.php?id=7013",1433055600,1433055600,"de"
46,"http://feeds.soundcloud.com/users/soundcloud:users:158941275/sounds.rss","1000229917","http://feeds.soundcloud.com/users/soundcloud:users:158941275/sounds.rss",1507313131,1466706748,"en"
47,"http://rss.lizhi.fm/rss/824935.xml","1000230553","http://rss.lizhi.fm/rss/824935.xml",1420657058,1420657058,"zh-CN"
48,"https://www.llresearch.org/podcast/rss.xml","1000230848","https://www.llresearch.org/podcast/rss.xml",1606159800,1432144800,"en-us"
49,"https://gatesrick27.podomatic.com/rss2.xml","1000237509","http://gatesrick27.podomatic.com/rss2.xml",1433012924,1433011963,"en-us"
50,"https://anchor.fm/s/6DBF2A8/podcast/rss","1000238889","https://anchor.fm/s/6DBF2A8/podcast/rss",1437948307,1432821942,"en-us"
51,"https://faithcovenant.libsyn.com/rss","1000239585","https://faithcovenant.libsyn.com/rss",1611282033,1534419237,"en"
52,"https://lowbatteryisrael.podbean.com/feed.xml","1000240483","https://lowbatteryisrael.podbean.com/feed.xml",1611208800,1434168360,"he"
53,"http://feeds.soundcloud.com/users/soundcloud:users:155675675/sounds.rss","1000242606","http://feeds.soundcloud.com/users/soundcloud:users:155675675/sounds.rss",1454377685,1452231717,"en"
54,"https://www.ivoox.com/podcast-jazznoend-radio_fg_f1136231_filtro_1.xml","1000252602","https://www.ivoox.com/podcast-jazznoend-radio_fg_f1136231_filtro_1.xml",1609000507,1413131029,"es-ES"
55,"http://feeds.soundcloud.com/users/soundcloud:users:153493399/sounds.rss","1000254735","http://feeds.soundcloud.com/users/soundcloud:users:153493399/sounds.rss",1441210264,1437263150,"en"
56,"https://itunesu.itunes.apple.com/feed/id1000257334","1000257334","https://itunesu.itunes.apple.com/feed/id1000257334",1433025420,1433024340,"EN"
57,"http://brb-dinner.squarespace.com/episodes?format=rss","1000257872","http://brb-dinner.squarespace.com/episodes?format=rss",0,0,""
58,"http://feeds.soundcloud.com/users/soundcloud:users:154617860/sounds.rss","1000263254","http://feeds.soundcloud.com/users/soundcloud:users:154617860/sounds.rss",1459163054,1454284800,"en"
59,"http://feeds.soundcloud.com/users/soundcloud:users:21640516/sounds.rss","1000263837","http://feeds.soundcloud.com/users/soundcloud:users:21640516/sounds.rss",1433821703,1433026062,"pt"
60,"https://itunesu.itunes.apple.com/feed/id1000264965","1000264965","https://itunesu.itunes.apple.com/feed/id1000264965",1433030340,1433028120,"EN"
61,"https://rss.art19.com/results-may-vary","1000266741","http://www.resultsmayvarypodcast.com/?format=rss",1608327000,1433023760,"en"
62,"http://thebigsbie.podfm.ru/Gamecast/rss/rss.xml","1000272651","http://thebigsbie.podfm.ru/Gamecast/rss/rss.xml",1435559220,1433030280,"ru-ru"
63,"https://itunesu.itunes.apple.com/feed/id1000272661","1000272661","https://itunesu.itunes.apple.com/feed/id1000272661",1433032800,1433031900,"EN"
